web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href,link1,link1-href,link2,link2-href,paginacion,paginacion-href
1619051268-294,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,j. jesus gallardo vela,Una delicia de mezcal artesanal,Revisado en México el 23 de septiembre de 2020,"Me ha gustado mucho este mezcal artesanal, joven y de origen oaxaqueño, como aperitivo a la par de una buena cerveza IPA, es un orgullo de producto mexicano, pues su presentación también está muy cuidada a la altura de un producto de exportación.",5.0 de 5 estrellas,,,Mezcal Artesanal Barro de Cobre Espadín 475 ml,https://www.amazon.com.mx/Mezcal-Artesanal-Barro-Cobre-Espad%C3%ADn/dp/B07D9XXQY2/ref=zg_bs_17836295011_46?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Artesanal-Barro-Cobre-Espad%C3%ADn/product-reviews/B07D9XXQY2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052616-1389,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Isaac Hermosillo,Mucha mercadotecnia y poca calidad,Revisado en México el 29 de agosto de 2020,"Muy caro para la calidad que es, hay mejores mezcales y a menor precio. Lo compré porque un amigo me comentó que estaba bueno pero la verdad es que tiene un sabor demasiado suave en alcohol y demasiado fuerte en ahumado. No lo recomiendo y encuentro muy parecido al mezcal burrito fiestero que es aún más barato.",2.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/product-reviews/B085FSGRGM/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,Mezcal Alerón Agave Cenizo 750 ml | 1 Botella,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/dp/B085FSGRGM/ref=zg_bs_17836295011_1?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/product-reviews/B085FSGRGM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052374-954,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,,,,,,null,https://www.amazon.com.mx/Mezcal-Mil-Diablos-36%C2%B0-700/product-reviews/B07GCG1YFH/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,Mezcal Mil Diablos 36° 700 ml,https://www.amazon.com.mx/Mezcal-Mil-Diablos-36%C2%B0-700/dp/B07GCG1YFH/ref=zg_bs_17836295011_6?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Mil-Diablos-36%C2%B0-700/product-reviews/B07GCG1YFH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619050480-15,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Katia,Recomendado,Revisado en México el 24 de marzo de 2021,"Buen mezcal, viene muy bien protegido y la botella bien empaquetada",5.0 de 5 estrellas,,,Mezcal Contraluz Añejo Cristalino 750 ml,https://www.amazon.com.mx/Mezcal-Contraluz-A%C3%B1ejo-Cristalino-750/dp/B07DQ6G2LV/ref=zg_bs_17836295011_97?_encoding=UTF8&psc=1&refRID=V7HAJ98156S90DDFXA6J,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Contraluz-A%C3%B1ejo-Cristalino-750/product-reviews/B07DQ6G2LV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_2?ie=UTF8&pg=2
1619052293-802,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Pablo Rodrigo Moyado Camargo,Excelente,Revisado en México el 9 de agosto de 2020,"Este mezcal es una pasada, desde mi punto de vista, es de los mejores que he probado. El envío de Amazon como siempre perfecto, llegó sin ningún problema. Si buscas compartir un buen momento con tus amigos/familia acompañado de una buena botella de mezcal, esta es una gran opción.",5.0 de 5 estrellas,,,MEZCAL AMARÁS CUPREATA (PAPALOTE) - 750 ML / 40.3°,https://www.amazon.com.mx/Mezcal-Amores-Cupreata-Papalote-750/dp/B07NZWJBLN/ref=zg_bs_17836295011_10?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Amores-Cupreata-Papalote-750/product-reviews/B07NZWJBLN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052082-631,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Martha VG,"Suave, rico, claro",Revisado en México el 4 de noviembre de 2020,Gran producto,5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Artesanal-Maguey-Espad%C3%ADn-Oaxaca/product-reviews/B07MXR4MK4/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,MITRE Mezcal Artesanal Joven 100% Maguey Espadín Selecto hecho en Oaxaca,https://www.amazon.com.mx/Mezcal-Artesanal-Maguey-Espad%C3%ADn-Oaxaca/dp/B07MXR4MK4/ref=zg_bs_17836295011_21?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Artesanal-Maguey-Espad%C3%ADn-Oaxaca/product-reviews/B07MXR4MK4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052137-690,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Arevalo,No sé entrego,Revisado en México el 5 de septiembre de 2020,No se entregó,1.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Verde-Momento-Espadin-Joven/product-reviews/B07FK454NV/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,Mezcal Verde Espadin Joven 700 ml,https://www.amazon.com.mx/Mezcal-Verde-Momento-Espadin-Joven/dp/B07FK454NV/ref=zg_bs_17836295011_17?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Verde-Momento-Espadin-Joven/product-reviews/B07FK454NV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052358-911,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Paul Moreno,Recomendado,Revisado en México el 12 de agosto de 2020,Bueno bonito y barato,5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Origen-Mezcal-Artesanal-Maguey-Espad%C3%ADn/product-reviews/B07V9JYWT8/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,Mitre Origen Mezcal Artesanal Joven 100% Maguey Espadín Oaxaca,https://www.amazon.com.mx/Origen-Mezcal-Artesanal-Maguey-Espad%C3%ADn/dp/B07V9JYWT8/ref=zg_bs_17836295011_7?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Origen-Mezcal-Artesanal-Maguey-Espad%C3%ADn/product-reviews/B07V9JYWT8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052566-1282,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Cliente de Amazon,Gran Mezcal!,Revisado en México el 9 de junio de 2020,"¡Un gran mezcal! Es suave y con sabor a leña, su calidad puede competir contra cualquier mezcal de otro estado. Súper recomendado",5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/product-reviews/B085FSGRGM/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,Mezcal Alerón Agave Cenizo 750 ml | 1 Botella,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/dp/B085FSGRGM/ref=zg_bs_17836295011_1?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/product-reviews/B085FSGRGM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052402-1032,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,HUMBERTO R.,Muy recomendable,Revisado en México el 12 de mayo de 2020,Un sabor ligero de principio y después viene una explosión de sabor y ardor del bueno,5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-200-ml/product-reviews/B07FKQV2T9/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,Mezcal Ojo de Tigre Joven 200 ml,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-200-ml/dp/B07FKQV2T9/ref=zg_bs_17836295011_5?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-200-ml/product-reviews/B07FKQV2T9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
